#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.15e+05  |  57525203|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.10972130|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.40330858|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.43431311|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.40042896|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.49868019|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.05315990|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.71767488|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.37378022|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.93589251|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.44648804|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.31377510|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.66364731|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.68919346|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.47709272|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.21658257|  PASSED  
             dab_dct| 256|     50000|       1|0.17823530|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.51663181|  PASSED  
        dab_filltree|  32|  15000000|       1|0.11365003|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.20898279|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.52692821|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.59746764|  PASSED  
